,time,wait,abandon
732,2222,0,0
733,2225,0,0
734,2228,0,0
735,2231,0,0
736,2239,0,0
737,2242,0,0
738,2245,0,0
739,2248,0,0
740,2251,0,0
741,2251,0,0
742,2262,0,0
743,2267,0,0
744,2271,0,0
745,2273,0,0
746,2276,0,0
747,2280,0,0
748,2282,0,0
749,2282,0,0
750,2284,0,0
751,2285,0,0
752,2289,0,0
753,2291,0,0
754,2292,0,0
755,2293,1,0
756,2301,6,0
757,2306,9,0
758,2310,12,0
759,2314,10,0
760,2316,10,0
761,2318,12,0
762,2320,13,0
763,2321,12,0
764,2321,9,0
765,2322,7,0
766,2332,12,0
767,2337,17,0
768,2338,17,0
769,2342,18,0
770,2345,21,0
771,2346,14,0
772,2348,15,0
773,2351,16,0
774,2351,15,0
775,2353,16,0
776,2368,30,0
777,2368,28,0
778,2370,27,0
779,2371,27,0
780,2374,28,0
781,2375,28,0
782,2375,27,0
783,2392,42,0
784,2396,46,0
785,2402,49,0
786,2404,49,0
787,2404,47,0
788,2405,48,0
789,2409,49,0
790,2409,40,0
791,2410,35,0
792,2413,36,0
793,2414,36,0
794,2417,38,0
795,2422,38,0
796,2428,43,0
797,2433,43,0
798,2442,50,0
799,2447,52,0
800,2448,50,0
801,2453,52,0
802,2453,51,0
803,2457,51,0
804,2463,54,0
805,2466,54,1
806,2466,51,0
807,2467,52,0
808,2469,17,1
809,2478,59,0
810,2481,14,1
811,2485,64,0
812,2491,66,0
813,2492,53,0
814,2496,53,0
815,2499,55,0
816,2504,60,0
817,2506,62,0
818,2510,59,0
819,2513,60,0
820,2518,65,0
821,2524,69,0
822,2527,71,0
823,2529,71,0
824,2534,73,0
825,2535,72,0
826,2536,72,0
827,2537,67,0
828,2544,70,0
829,2544,68,0
830,2550,57,1
831,2551,75,0
832,2552,74,0
833,2553,66,0
834,2555,14,1
835,2564,76,0
836,2569,79,0
837,2570,27,1
838,2570,80,0
839,2570,78,0
840,2575,77,0
841,2575,76,0
842,2579,78,0
843,2585,69,0
844,2587,68,0
845,2591,68,0
846,2593,70,0
847,2597,69,0
848,2601,73,0
849,2609,80,0
850,2609,79,0
851,2610,36,1
852,2613,83,0
853,2614,76,0
854,2619,18,1
855,2619,68,0
856,2627,70,0
857,2629,67,0
858,2632,69,0
859,2634,65,0
860,2635,59,0
861,2640,63,0
862,2643,55,0
863,2644,50,0
864,2645,48,0
865,2646,29,1
866,2646,43,0
867,2646,43,0
868,2648,44,0
869,2651,4,1
870,2657,53,1
871,2663,59,0
872,2663,59,0
873,2665,51,0
874,2667,52,0
875,2668,51,0
876,2671,51,0
877,2676,53,0
878,2679,53,1
879,2679,53,0
880,2679,53,0
881,2688,57,0
882,2689,42,0
883,2689,40,0
884,2693,39,0
885,2696,39,0
886,2697,39,0
887,2704,43,0
888,2704,41,0
889,2705,40,0
890,2706,39,0
891,2710,42,0
892,2713,40,0
893,2714,41,0
894,2715,40,0
895,2716,39,0
896,2730,52,0
897,2732,50,0
898,2733,50,0
899,2736,19,1
900,2738,55,0
901,2738,54,0
902,2741,46,0
903,2743,46,0
904,2745,42,0
905,2749,44,0
906,2750,41,0
907,2753,42,0
908,2753,37,0
909,2754,35,0
910,2758,38,0
911,2760,34,0
912,2760,34,0
913,2763,30,0
914,2763,27,0
915,2770,31,0
916,2775,34,0
917,2779,38,0
918,2787,42,0
919,2789,44,0
920,2790,45,0
921,2791,42,0
922,2793,44,0
